Country,State,City,University Name,Latitude,Longitude
USA,Pennsylvania,Philadelphia,University of Pennsylvania,39.952583,-75.191975
USA,Arizona,Tucson,University of Arizona Tuscon,32.221664,-110.948922
USA,Florida,Tampa,University of South Florida,28.051836,-82.400005
USA,Indiana,Indianapolis,Purdue University,39.77670894798228,-86.17081069643245
USA,Tennessee,Nashville,Vanderbilt University,36.145532,-86.80406
USA,Louisiana,New Orleans,Tulane University,29.958586,-90.064997
USA,Nevada,Reno,University of Nevada,39.534642,-119.812831
Canada,Alberta,Edmonton,University of Alberta,53.523219,-113.523219
USA,Missouri,St. Louis,Washington University in St. Louis,38.6289,-90.3072
USA,California,Santa Barbara,UC Santa Barbara,34.413953,-119.848956
